[3180:15712:0118/112133.814:WARNING:chrome_main_delegate.cc(672)] This is Chrome version 131.0.6778.265 (not a warning)
[3180:15712:0118/112133.863:INFO:chrome_browser_cloud_management_controller.cc(196)] No machine level policy manager exists.
[24764:9336:0118/112133.909:WARNING:viz_main_impl.cc(85)] VizNullHypothesis is disabled (not a warning)
[24764:9336:0118/112133.982:ERROR:gpu_channel_manager.cc(952)] Failed to create GLES3 context, fallback to GLES2.
[24764:9336:0118/112133.982:ERROR:gpu_channel_manager.cc(963)] ContextResult::kFatalFailure: Failed to create shared context for virtualization.
[3180:15712:0118/112134.609:INFO:CONSOLE(156)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v4/yq/r/Cc---GNK6ix.js (156)
[3180:15712:0118/112138.994:INFO:CONSOLE(71)] "ErrorUtils caught an error:

Converting to a string will drop content data. Hash="undefined" Translation="{user_name} adicionou {names}" Content="{"key":null,"ref":null,"props":{"contact":{"id":"553197815074@c.us","type":"in","isBusiness":false,"isEnterprise":false,"isSmb":false,"isContactSyncCompleted":1,"textStatusLastUpdateTime":-1,"syncToAddressbook":false},"showNotifyName":true,"elevatedP" (type=object,Object)

Subsequent non-fatal errors won't be logged; see https://fburl.com/debugjs.", source: https://static.whatsapp.net/rsrc.php/v4/y-/r/wYG80FM5vGF.js (71)
[3180:15712:0118/112213.916:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/112238.968:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/112749.405:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/112754.414:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/112759.429:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/112804.436:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/112809.438:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/112814.452:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/113349.979:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/113354.991:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/113404.994:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/113409.998:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/113415.009:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/113420.009:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/113650.250:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/113710.337:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115026.580:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115031.591:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115036.594:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115046.610:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115051.624:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115056.634:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115512.129:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115517.133:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115627.243:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/115657.300:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/120057.694:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
[3180:15712:0118/120232.843:WARNING:page_discarding_helper.cc(148)] Discarding multiple pages with target (kb): 0
